time,movement,milliseconds
08:00:00,0.036566,28800000.0
08:00:00,-0.124798,28800000.0
08:00:00,0.090054,28800000.0
08:00:00,0.112868,28800000.0
08:00:00,-0.234124,28800000.0
08:00:00,-0.156262,28800000.0
08:00:00,0.015341,28800000.0
08:00:00,-0.037949,28800000.0
08:00:00,-0.002016,28800000.0
08:00:00,-0.102365,28800000.0
08:00:01,0.105528,28801000.0
08:00:01,0.093335,28801000.0
08:00:01,0.007924,28801000.0
08:00:01,0.135269,28801000.0
08:00:01,0.056101,28801000.0
08:00:01,-0.103115,28801000.0
08:00:01,0.04425,28801000.0
08:00:01,-0.115066,28801000.0
08:00:01,0.105414,28801000.0
08:00:01,-0.005991,28801000.0
08:00:02,-0.022183,28802000.0
08:00:02,-0.081712,28802000.0
08:00:02,0.146705,28802000.0
08:00:02,-0.018544,28802000.0
08:00:02,-0.051399,28802000.0
08:00:02,-0.042256,28802000.0
08:00:02,0.063877,28802000.0
08:00:02,0.043853,28802000.0
08:00:02,0.049528,28802000.0
08:00:02,0.051699,28802000.0
08:00:03,0.256998,28803000.0
08:00:03,-0.04877,28803000.0
08:00:03,-0.061469,28803000.0
08:00:03,-0.097653,28803000.0
08:00:03,0.073918,28803000.0
08:00:03,0.135477,28803000.0
08:00:03,-0.013674,28803000.0
08:00:03,-0.100819,28803000.0
08:00:03,-0.098938,28803000.0
08:00:03,0.078071,28803000.0
08:00:04,0.089191,28804000.0
08:00:04,0.065179,28804000.0
08:00:04,-0.079861,28804000.0
08:00:04,0.027859,28804000.0
08:00:04,0.014002,28804000.0
08:00:04,0.026243,28804000.0
08:00:04,0.104571,28804000.0
08:00:04,0.026831,28804000.0
08:00:04,0.08147,28804000.0
08:00:04,0.008109,28804000.0
08:00:05,0.034694,28805000.0
08:00:05,0.075755,28805000.0
08:00:05,-0.174859,28805000.0
08:00:05,-0.038361,28805000.0
08:00:05,-0.056445,28805000.0
08:00:05,-0.076665,28805000.0
08:00:05,-0.033017,28805000.0
08:00:05,0.179393,28805000.0
08:00:05,-0.1039,28805000.0
08:00:05,0.116193,28805000.0
08:00:06,-0.201944,28806000.0
08:00:06,-0.040186,28806000.0
08:00:06,0.01953,28806000.0
08:00:06,0.070347,28806000.0
08:00:06,0.085347,28806000.0
08:00:06,0.095202,28806000.0
08:00:06,-0.041847,28806000.0
08:00:06,-0.055482,28806000.0
08:00:06,0.102957,28806000.0
08:00:06,-0.022957,28806000.0
08:00:07,-0.153082,28807000.0
08:00:07,-0.135994,28807000.0
08:00:07,-0.110334,28807000.0
08:00:07,0.059659,28807000.0
08:00:07,0.017091,28807000.0
08:00:07,0.082858,28807000.0
08:00:07,-0.05127,28807000.0
08:00:07,0.019025,28807000.0
08:00:07,0.075071,28807000.0
08:00:07,-0.037122,28807000.0
08:00:08,0.054813,28808000.0
08:00:08,-0.079431,28808000.0
08:00:08,-0.043566,28808000.0
08:00:08,-0.045809,28808000.0
08:00:08,-0.143501,28808000.0
08:00:08,0.058437,28808000.0
08:00:08,-0.056328,28808000.0
08:00:08,0.001499,28808000.0
08:00:08,0.05769,28808000.0
08:00:08,0.053584,28808000.0
08:00:09,0.079846,28809000.0
08:00:09,-0.011818,28809000.0
08:00:09,-0.050796,28809000.0
08:00:09,-0.009566,28809000.0
08:00:09,-0.20248,28809000.0
08:00:09,-0.173653,28809000.0
08:00:09,-0.158724,28809000.0
08:00:09,-0.11967,28809000.0
08:00:09,0.047973,28809000.0
08:00:09,-0.108657,28809000.0
08:00:10,-0.04538,28810000.0
08:00:10,0.155907,28810000.0
08:00:10,-0.042752,28810000.0
08:00:10,0.088502,28810000.0
08:00:10,-0.112034,28810000.0
08:00:10,-0.024653,28810000.0
08:00:10,-0.114003,28810000.0
08:00:10,-0.040684,28810000.0
08:00:10,0.100837,28810000.0
08:00:10,-0.207278,28810000.0
08:00:11,0.052131,28811000.0
08:00:11,0.028528,28811000.0
08:00:11,-0.071298,28811000.0
08:00:11,-0.173527,28811000.0
08:00:11,0.008656,28811000.0
08:00:11,-0.063539,28811000.0
08:00:11,0.027921,28811000.0
08:00:11,0.002622,28811000.0
08:00:11,0.192213,28811000.0
08:00:11,-0.028723,28811000.0
08:00:12,-0.12282,28812000.0
08:00:12,0.021513,28812000.0
08:00:12,0.0264,28812000.0
08:00:12,0.163103,28812000.0
08:00:12,0.100213,28812000.0
08:00:12,0.042825,28812000.0
08:00:12,0.175596,28812000.0
08:00:12,-0.142652,28812000.0
08:00:12,-0.07677,28812000.0
08:00:12,-0.111189,28812000.0
08:00:13,-0.046777,28813000.0
08:00:13,-0.165202,28813000.0
08:00:13,0.076218,28813000.0
08:00:13,-0.026667,28813000.0
08:00:13,-0.176497,28813000.0
08:00:13,-0.121869,28813000.0
08:00:13,0.037622,28813000.0
08:00:13,0.100575,28813000.0
08:00:13,0.239608,28813000.0
08:00:13,0.349663,28813000.0
08:00:14,0.049729,28814000.0
08:00:14,-0.118745,28814000.0
08:00:14,-0.255846,28814000.0
08:00:14,0.032125,28814000.0
08:00:14,-0.097553,28814000.0
08:00:14,-0.049843,28814000.0
08:00:14,-0.073452,28814000.0
08:00:14,-0.016895,28814000.0
08:00:14,0.127918,28814000.0
08:00:14,0.018846,28814000.0
08:00:15,-0.019036,28815000.0
08:00:15,-0.124278,28815000.0
08:00:15,-0.200962,28815000.0
08:00:15,-0.058357,28815000.0
08:00:15,-0.006454,28815000.0
08:00:15,0.212152,28815000.0
08:00:15,0.015633,28815000.0
08:00:15,0.117929,28815000.0
08:00:15,-0.059915,28815000.0
08:00:15,-0.142193,28815000.0
08:00:16,-0.115814,28816000.0
08:00:16,-0.087027,28816000.0
08:00:16,0.255416,28816000.0
08:00:16,-0.098566,28816000.0
08:00:16,0.100619,28816000.0
08:00:16,-0.108351,28816000.0
08:00:16,0.111789,28816000.0
08:00:16,0.046194,28816000.0
08:00:16,-0.018797,28816000.0
08:00:16,-0.004892,28816000.0
08:00:17,-0.078575,28817000.0
08:00:17,0.053529,28817000.0
08:00:17,-0.054598,28817000.0
08:00:17,-0.147073,28817000.0
08:00:17,-0.153353,28817000.0
08:00:17,0.020711,28817000.0
08:00:17,0.189491,28817000.0
08:00:17,0.019199,28817000.0
08:00:17,-0.014237,28817000.0
08:00:17,0.034299,28817000.0
08:00:18,0.15672,28818000.0
